Date,Icon,Name,Time,Category
"2025-06-08 23:56:57","🌱","Plantar","00:00:02","work"
"2025-06-09 00:02:46","🌱","Plantar","00:00:02","work"
"2025-06-09 00:07:40","🌱","Plantar","00:00:02","work"
"2025-06-09 06:53:32","🌱","Plantar","00:00:02","work"
"2025-06-09 06:56:27","🌱","Plantar","00:00:02","work"
"2025-06-09 06:57:18","🌱","Plantar","00:00:02","work"
"2025-06-09 06:57:34","🌱","Plantar","00:00:02","work"
"2025-06-09 06:58:02","🌱","Plantar","00:00:02","work"
"2025-06-09 06:58:50","🏫","Study","00:00:02","work"
"2025-06-09 06:59:01","🏫","Study","00:00:02","work"
"2025-06-09 07:11:17","🏫","Study","00:00:02","work"
"2025-06-09 07:26:18","🏫","Study","00:00:02","work"
"2025-06-09 07:27:07","🏫","Study","00:00:02","work"
"2025-06-09 07:27:57","🏫","Study","00:00:02","work"
"2025-06-09 07:28:05","🏫","Study","00:00:02","work"
"2025-06-09 07:28:11","🏫","Study","00:00:02","work"
"2025-06-09 07:28:18","🏫","Study","00:00:02","work"
"2025-06-09 07:28:24","🏫","Study","00:00:02","work"
"2025-06-09 07:28:31","🏫","Study","00:00:02","work"
"2025-06-09 07:28:55","🏫","Study","00:00:02","work"
"2025-06-09 07:36:46","🏫","Study","00:00:02","work"
"2025-06-09 07:36:56","🏫","Study","00:00:02","work"
"2025-06-09 07:37:05","🏫","Study","00:00:02","work"
"2025-06-09 07:37:32","🏫","Study","00:00:02","work"
"2025-06-09 09:12:51","🏫","Study","00:00:02","work"
"2025-06-09 09:13:11","🏫","Study","00:00:02","work"
"2025-06-09 09:13:26","🏫","Study","00:00:02","work"
"2025-06-09 09:15:18","🧹","Clean Room","00:00:02","work"
"2025-06-09 10:10:28","🧹","Clean Room","00:00:02","work"
"2025-06-09 10:23:21","🌱","Plantar","00:00:02","work"
"2025-06-09 10:32:34","🌱","Plantar","00:00:02","work"
"2025-06-09 10:41:54","💽","Code Anatra","00:00:02","work"
"2025-06-09 11:01:12","🌱","Plantar","00:00:02","work"
"2025-06-09 12:03:37","??","Code Anatra","00:00:02","work"
"2025-06-09 12:04:41","??","Code Anatra","00:00:02","work"
"2025-06-09 12:11:09","🌱","Plantar","00:00:02","work"
"2025-06-09 12:13:30","??","Plantar","00:00:02","work"
"2025-06-09 12:15:56","??","Plantar","00:00:02","work"
"2025-06-09 12:18:17","🌱","Plantar","00:00:02","work"
"2025-06-09 12:18:29","🌱","Plantar","00:00:02","work"
"2025-06-09 12:18:43","💽","Code Anatra","00:00:02","work"
